Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2016-01-01,22.070659637451172,118.08634948730469,29.350000381469727,46.96067810058594,107.73661041259766,49.62789535522461,67.86556243896484,18.06479263305664,60.253692626953125,89.6932601928711,,135.81690979003906,102.73352813720703,82.07469177246094,80.6711196899414,24.515546798706055,82.87837219238281,46.644187927246094,32.73687744140625,100.47268676757812,93.49413299560547,37.372901916503906,48.690494537353516,56.39733123779297,64.06275939941406,88.12842559814453,101.27020263671875,70.07569885253906,32.19154739379883,18.653940200805664
2016-02-01,21.923288345336914,110.00675201416016,27.625999450683594,48.99997329711914,105.98779296875,54.65736389160156,67.55645751953125,20.03452491760254,58.14231491088867,89.41243743896484,,125.70380401611328,101.3938217163086,80.60338592529297,84.70502471923828,23.385391235351562,83.4894027709961,44.431663513183594,32.89706039428711,95.12352752685547,97.12863159179688,37.03361892700195,44.969539642333984,56.01533889770508,63.513668060302734,88.52362060546875,104.7350082397461,68.10013580322266,33.0831184387207,18.648313522338867
2016-03-01,24.84625244140625,116.72754669189453,29.68199920654297,54.130943298339844,114.89754486083984,61.794288635253906,73.61908721923828,21.786970138549805,67.31942749023438,92.96009826660156,,132.5400848388672,108.99916076660156,89.62010955810547,98.90567016601562,25.791690826416016,86.48436737060547,46.73611831665039,35.38359451293945,102.78775024414062,103.9171371459961,39.025062561035156,49.16470718383789,55.906211853027344,65.1115951538086,96.0899429321289,113.35299682617188,72.0897445678711,35.267791748046875,19.2526912689209
2016-04-01,21.369739532470703,123.2440185546875,32.97949981689453,57.6838493347168,122.01187896728516,62.746971130371094,75.58346557617188,21.03702163696289,72.10377502441406,96.65754699707031,,138.56004333496094,109.97637176513672,91.39568328857422,95.30734252929688,24.14134407043457,89.58567810058594,49.877113342285156,34.437313079833984,103.45022583007812,104.38485717773438,40.80245590209961,44.39333724975586,53.743404388427734,63.37919235229492,90.98577880859375,116.27552032470703,72.80607604980469,33.22007369995117,18.936464309692383
2016-05-01,22.764907836914062,122.97148132324219,36.13949966430664,58.25545120239258,114.18245697021484,59.11149978637695,83.47085571289062,22.43413734436035,71.27108001708984,92.87586975097656,,134.65086364746094,108.52252197265625,91.04376983642578,100.40115356445312,25.185760498046875,90.0732421875,51.89210510253906,34.2835807800293,99.8271255493164,104.97107696533203,41.85898208618164,47.17960739135742,50.351383209228516,64.63209533691406,94.4960708618164,118.03276062011719,74.40848541259766,33.54438781738281,20.043704986572266
2016-06-01,21.926448822021484,119.23577117919922,35.78099822998047,53.826053619384766,118.5084228515625,61.80173110961914,79.18315124511719,22.1561222076416,74.75572204589844,91.56537628173828,,125.9621353149414,105.4268569946289,93.51988983154297,100.07778930664062,26.376346588134766,97.64746856689453,49.403648376464844,34.844730377197266,98.4204330444336,109.93905639648438,42.863407135009766,45.86916732788086,50.33315658569336,67.52715301513672,98.55274963378906,124.68185424804688,70.03614044189453,36.799964904785156,20.829437255859375
2016-07-01,23.901206970214844,134.81520080566406,37.94049835205078,57.39125442504883,121.96684265136719,67.4675064086914,81.56632232666016,23.57707405090332,73.07989501953125,89.81494903564453,,134.63482666015625,114.13743591308594,93.52794647216797,105.90652465820312,28.032917022705078,100.8111343383789,50.85857009887695,33.79514694213867,96.92765808105469,111.97306823730469,44.00092315673828,50.808380126953125,50.75454330444336,68.2608871459961,96.78404235839844,127.02368927001953,73.69988250732422,36.516578674316406,20.815168380737305
2016-08-01,24.334692001342773,133.2713165283203,38.45800018310547,58.388431549072266,118.12515258789062,67.45075225830078,79.193115234375,24.501018524169922,71.7249984741211,89.06251525878906,,143.66357421875,110.73577880859375,93.83344268798828,104.75921630859375,28.861194610595703,96.06963348388672,54.082820892333984,33.640235900878906,95.28817749023438,112.5255355834961,47.09883499145508,51.50757598876953,52.7115592956543,70.17830657958984,98.85762786865234,120.68141174316406,76.39103698730469,34.83495330810547,20.378725051879883
2016-09-01,26.069177627563477,131.4844207763672,41.865501403808594,57.01731872558594,121.21104431152344,73.0640869140625,71.12622833251953,24.71922492980957,74.16700744628906,87.55393981933594,,137.25497436523438,106.78907012939453,94.21927642822266,105.64401245117188,30.587039947509766,95.72996520996094,53.35368728637695,32.78043746948242,95.77961730957031,111.32530212402344,46.81378936767578,51.95488357543945,48.148223876953125,72.1395034790039,95.39332580566406,124.18518829345703,78.2262191772461,34.601959228515625,20.713537216186523
2016-10-01,26.182167053222656,111.26629638671875,39.49100112915039,59.136314392089844,131.04664611816406,68.69358825683594,74.9452896118164,23.90876007080078,75.48574829101562,87.3936538696289,,151.69796752929688,101.25379943847656,89.10741424560547,102.21237182617188,28.253503799438477,93.99576568603516,55.49296951293945,33.11072540283203,93.46320343017578,104.42074584960938,44.368927001953125,54.04750061035156,46.01715850830078,69.76834869384766,90.59745788574219,125.94386291503906,78.04649353027344,32.01912307739258,20.11039924621582
