Date,AALB.AS,ABN.AS,AD.AS,ADYEN.AS,AGN.AS,AKZA.AS,ASML.AS,ASRNL.AS,GLPG.AS,HEIA.AS,IMCD.AS,INGA.AS,KPN.AS,MT.AS,NN.AS,PHIA.AS,RAND.AS,REL.L,TKWY.AS,UNA.AS,URW.AS,VPK.AS,WKL.AS
2011-05-01,12.749738693237305,,6.3041510581970215,,2.643491268157959,31.43444061279297,30.880508422851562,,4.849999904632568,32.99811935424805,,4.547323226928711,3.1889584064483643,37.750362396240234,,12.150114059448242,19.214651107788086,392.5743408203125,,,,23.16256332397461,11.459153175354004
2011-06-01,12.490174293518066,,5.895666122436523,,2.5575857162475586,27.260732650756836,29.045175552368164,,4.849999904632568,32.72195816040039,,4.607020378112793,3.134272575378418,39.40132141113281,,11.163607597351074,17.840579986572266,403.2614440917969,,,,23.71706771850586,11.14905071258545
2011-07-01,10.549237251281738,,5.909664630889893,,2.183516502380371,26.75311851501465,28.570619583129883,,4.849999904632568,32.57203674316406,,4.08113956451416,3.1080236434936523,35.805198669433594,,10.936678886413574,17.58871078491211,394.71173095703125,,,,24.450546264648438,10.55803394317627
2011-08-01,10.072720527648926,,5.160139560699463,,1.7028825283050537,22.7830753326416,28.461984634399414,,4.849999904632568,27.825889587402344,,3.321894884109497,3.2150650024414062,25.657249450683594,,9.285146713256836,13.628803253173828,358.3754577636719,,,,24.433000564575195,9.613139152526855
2011-09-01,8.728400230407715,,5.609345436096191,,1.6659103631973267,20.884225845336914,29.822765350341797,,4.849999904632568,26.70794677734375,,2.8942439556121826,3.1816439628601074,20.100141525268555,,8.541325569152832,13.528057098388672,356.04736328125,,,,25.27878761291504,8.919970512390137
2011-10-01,9.91387939453125,,5.8950300216674805,,1.8893728256225586,23.948707580566406,34.61407470703125,,4.849999904632568,27.958133697509766,,3.397331476211548,3.0514988899230957,25.008703231811523,,9.515225410461426,14.426382064819336,384.92584228515625,,,,26.25090980529785,9.343169212341309
2011-11-01,9.344385147094727,,6.01973819732666,,1.7561652660369873,23.72298812866211,33.1446647644043,,4.849999904632568,27.755075454711914,,3.1145823001861572,2.9210331439971924,23.211669921875,,9.486861228942871,12.931968688964844,380.2448425292969,,,,28.63384246826172,9.412484169006348
2011-12-01,10.057222366333008,,6.620375633239746,,1.6860276460647583,23.62181854248047,37.13551330566406,,4.849999904632568,28.483705520629883,,3.0174379348754883,2.9708423614501953,23.842443466186523,,10.262198448181152,12.794844627380371,373.7633056640625,,,,28.654911041259766,9.744475364685059
2012-01-01,11.107110977172852,,6.445402145385742,,2.014425277709961,25.14560317993164,37.547183990478516,,4.849999904632568,28.1253604888916,,3.776139497756958,2.6928775310516357,25.9600830078125,,9.73900318145752,14.591496467590332,378.08428955078125,,,,29.156763076782227,10.112947463989258
2012-02-01,11.769585609436035,,6.604469299316406,,2.13675856590271,26.91914176940918,39.45112609863281,,4.849999904632568,31.557411193847656,,3.6133270263671875,2.614147901535034,26.702524185180664,,9.931262016296387,15.89560604095459,396.44842529296875,,,,29.409448623657227,10.196859359741211
