Date,AGNC,AXON,BCG,BSBK,CEAD,CMRX,CVCO,FNKO,FNLC,IFRX,KLXE,MSBI,NMRA,NMRK,NVCR,NVCT,NVEC,NVEI,OPTN,OPTX,SCNI,SCOR,SDA,SLAB,STRR,STRS,STRT,TWST,UONEK,ZPTA
2015-08-01,6.518500328063965,23.399999618530273,,,235.8000030517578,48.939998626708984,71.55000305175781,,12.336431503295898,,,,,,,,31.040592193603516,,,,350.0,1044.199951171875,,43.47999954223633,155.312744140625,13.732175827026367,58.25408935546875,,3.0999999046325684,
2015-09-01,6.438632488250732,22.030000686645508,,,219.60000610351562,38.20000076293945,68.08999633789062,,12.702204704284668,,,,,,,,28.68831443786621,,,,367.0,923.0,,41.540000915527344,154.77601623535156,12.851369857788086,58.22637939453125,,2.130000114440918,
2015-10-01,6.203059196472168,23.40999984741211,,,189.0,39.18000030517578,98.5999984741211,,14.052228927612305,,,,,,22.469999313354492,,35.04182052612305,,,,389.0,855.5999755859375,,49.970001220703125,244.9929962158203,14.302600860595703,55.35004425048828,,2.1500000953674316,
2015-11-01,6.314389228820801,18.700000762939453,,,167.39999389648438,40.400001525878906,92.69999694824219,,14.92912769317627,,,,,,24.350000381469727,,35.7949104309082,,,,384.20001220703125,842.0,,54.11000061035156,241.68231201171875,13.94189167022705,57.70024871826172,,1.7400000095367432,
2015-12-01,6.168074131011963,17.290000915527344,,,126.0,8.949999809265137,83.30999755859375,,13.771936416625977,,,,,,22.360000610351562,,33.763572692871094,,,,396.0,823.0,,48.540000915527344,241.3907012939453,17.121177673339844,52.26887893676758,,1.7200000286102295,
2016-01-01,6.141148567199707,15.390000343322754,,,151.1999969482422,7.699999809265137,83.86000061035156,,12.85694408416748,,,,,,12.479999542236328,,29.809059143066406,,,,360.0,770.5999755859375,,45.599998474121094,207.20407104492188,20.032028198242188,44.47914505004883,,1.440000057220459,
2016-02-01,6.579427719116211,19.3799991607666,,,115.19999694824219,4.610000133514404,81.13999938964844,,12.83242130279541,,,,,,11.6899995803833,,31.207908630371094,,,,405.0,823.0,,41.25,217.20989990234375,19.34416389465332,47.696624755859375,,1.350000023841858,
2016-03-01,6.858988285064697,19.6299991607666,,,154.8000030517578,5.110000133514404,93.45999908447266,,13.274681091308594,,,,,,14.479999542236328,,34.680240631103516,,,,373.0,600.7999877929688,,44.959999084472656,208.9638671875,19.931365966796875,53.213626861572266,,1.4199999570846558,
2016-04-01,6.836900234222412,18.260000228881836,,,147.60000610351562,5.980000019073486,87.69000244140625,,13.506014823913574,,,,,,12.899999618530273,,35.20169448852539,,,,396.0,612.4000244140625,,46.79999923706055,245.61680603027344,20.04880714416504,49.17030715942383,,2.2200000286102295,
2016-05-01,7.108417987823486,22.3700008392334,,,171.0,4.900000095367432,99.31999969482422,,13.863250732421875,,,,,,11.130000114440918,,34.6434326171875,,,,360.0,647.5999755859375,,49.75,211.49168395996094,18.706626892089844,42.99845504760742,,2.7100000381469727,
