Datetime,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,DOW,PYPL,KHC,T
2022/2/9,0,0,0,1,1,0,1,-1,0,1,0,1,1,1,0,0,0,0,1,0,0,-1,0,0,1,-1,1,-1,0,1,-1,1,0,1,0,-1,0,0,1,0,0,0,1,1,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,1,-1,1,1,0,0
2022/2/10,0,0,0,1,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,1,1,1,0,0,1,1,1,0,-1,0,1,0,0,0,0,0,0,0,1,0,-1,0,1,0,1,0,1,1,0,1,1,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,-1,1,1,0,0
2022/2/11,0,0,0,1,0,-1,1,0,0,0,-1,-1,0,1,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,1,0,0,0,-1,0,0,1,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,1,-1,0,0,-1,-1,1,-1,-1,-1,0
2022/2/12,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2022/2/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/14,0,0,-1,0,0,0,1,0,0,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
2022/2/15,0,1,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,1,-1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,1,1,1,0,-1,0,0,1,-1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,0
2022/2/16,0,1,0,1,1,0,1,-1,0,0,1,1,-1,1,0,1,0,1,0,1,0,-1,1,-1,0,0,0,1,0,1,1,0,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,-1,1,-1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,-1,1,0,-1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,-1,0,1,1,0,1,0
2022/2/17,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,1,0,1,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,0,-1,0,1,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-1
2022/2/18,0,0,-1,1,1,0,0,0,0,-1,0,1,1,-1,0,-1,0,1,0,1,1,0,0,0,1,0,-1,0,0,0,0,1,0,-1,0,0,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,1,1,0,1,0,-1,1,0,0,1,-1,0,-1,0,-1,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,-1,1,-1,-1,0,0,0
2022/2/19,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,-1,-1,0,0,0,0,-1,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,1,0,0,0,1,0,0
2022/2/20,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,0,-1,0,-1,0
2022/2/21,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,0
2022/2/22,0,0,0,1,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,1,0,1,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,1,0,1,1,0,0,-1,-1,1,-1,0,-1,0,0,-1,0,0,-1,0,0,0,1,0,0,1,-1,-1,0,0,1,0,-1,1,0,0,-1,0,0,1,0,0,-1,1,0,0,-1,0,0,0,0,1,1,-1,0,0,0
2022/2/23,0,0,0,1,1,0,-1,0,0,0,1,1,0,-1,0,1,0,1,0,-1,1,0,0,-1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,0,1,1,1,0,-1,0,1,1,0,1,0,1,1,-1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,-1,0,1,0,1,0,0,0,-1,1,0,0,0,0,1,0,0,0,1,0,0,-1,1,1,1,0
2022/2/24,0,0,0,1,0,0,-1,0,1,1,0,0,0,1,0,-1,0,1,1,0,1,0,1,0,-1,1,0,-1,0,0,-1,1,0,0,0,1,0,-1,0,0,0,-1,0,0,-1,1,1,1,1,-1,0,0,-1,1,1,0,-1,0,-1,-1,1,0,-1,1,0,1,0,0,0,0,1,1,1,-1,1,0,-1,1,-1,0,1,0,0,0,1,0,1,0,0,0,0,-1,-1,0,-1,1,-1,0,0,1,0
2022/2/25,0,0,0,1,1,0,0,0,1,0,-1,1,1,1,1,0,0,1,0,1,0,0,0,-1,0,1,0,1,1,0,0,-1,0,0,0,1,0,0,1,0,0,1,0,0,-1,0,1,1,0,1,0,1,0,1,0,-1,0,0,0,-1,1,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,-1,1,0,0,0,1,0,1,0,0,0,0,-1,-1,0,1,-1,0
2022/2/26,0,-1,0,1,0,0,0,1,0,0,0,0,1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,1,-1,0,-1,0,0,0,1,-1,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
