date,tic,popularity
2004-04-01,SCHW,0.0
2004-04-01,SO,0.3
2004-04-01,SPG,0.0
2004-04-01,T,0.64
2004-04-01,TGT,0.0
2004-04-01,TMO,0.03
2004-04-01,TMUS,0.0
2004-04-01,TSLA,0.0
2004-04-01,TXN,0.01
2004-04-01,UNH,0.01
2004-04-01,UNP,0.0
2004-04-01,UPS,0.28
2004-04-01,USB,0.83
2004-04-01,V,0.46
2004-04-01,VZ,0.0
2004-04-01,WFC,0.0
2004-04-01,WMT,0.0
2004-04-01,XOM,0.0
2004-05-01,AAPL,0.02
2004-05-01,ABBV,0.01
2004-05-01,ABT,0.41
2004-05-01,ACN,0.3
2004-05-01,ADBE,0.04
2004-05-01,AIG,0.1
2004-05-01,AMD,0.78
2004-05-01,AMGN,0.0
2004-05-01,AMT,0.2
2004-05-01,AMZN,0.0
2004-05-01,AVGO,0.0
2004-05-01,AXP,0.0
2004-05-01,BA,0.27
2004-05-01,BAC,0.28
2004-05-01,BK,0.06
2004-05-01,BKNG,0.0
2004-05-01,BLK,0.0
2004-05-01,BMY,0.0
2004-05-01,BRK-B,0.0
2004-05-01,C,0.88
2004-05-01,CAT,0.57
2004-05-01,CHTR,0.0
2004-05-01,CL,0.04
2004-05-01,CMCSA,0.0
2004-05-01,COF,0.0
2004-05-01,COP,0.04
2004-05-01,COST,0.5
2004-05-01,CRM,0.07
2004-05-01,CSCO,0.0
2004-05-01,CVS,0.13
2004-05-01,CVX,0.0
2004-05-01,DE,0.75
2004-05-01,DHR,0.0
2004-05-01,DIS,0.0
2004-05-01,DOW,0.05
2004-05-01,DUK,0.0
2004-05-01,EMR,0.0
2004-05-01,F,0.21
2004-05-01,FDX,0.0
2004-05-01,GD,0.02
2004-05-01,GE,0.1
2004-05-01,GILD,0.0
2004-05-01,GM,0.6
2004-05-01,GOOG,0.03
2004-05-01,GOOGL,0.02
2004-05-01,GS,0.28
2004-05-01,HD,0.03
2004-05-01,HON,0.0
2004-05-01,IBM,0.14
2004-05-01,INTC,0.0
2004-05-01,INTU,0.0
2004-05-01,JNJ,0.0
2004-05-01,JPM,0.0
2004-05-01,KHC,0.0
2004-05-01,KO,0.06
2004-05-01,LIN,0.07
2004-05-01,LLY,0.0
2004-05-01,LMT,0.0
2004-05-01,LOW,0.54
2004-05-01,MA,0.51
2004-05-01,MCD,0.01
2004-05-01,MDLZ,0.0
2004-05-01,MDT,0.01
2004-05-01,MET,0.35
2004-05-01,META,0.11
2004-05-01,MMM,0.02
2004-05-01,MO,0.29
2004-05-01,MRK,0.0
2004-05-01,MS,0.75
2004-05-01,MSFT,0.0
2004-05-01,NEE,0.01
2004-05-01,NFLX,0.0
2004-05-01,NKE,0.01
2004-05-01,NVDA,0.01
2004-05-01,ORCL,0.01
2004-05-01,PEP,0.51
2004-05-01,PFE,0.04
2004-05-01,PG,0.07
2004-05-01,PM,0.13
2004-05-01,PYPL,0.0
2004-05-01,QCOM,0.0
2004-05-01,RTX,0.02
2004-05-01,SBUX,0.0
2004-05-01,SCHW,0.0
2004-05-01,SO,0.3
2004-05-01,SPG,0.0
2004-05-01,T,0.61
2004-05-01,TGT,0.0
2004-05-01,TMO,0.02
2004-05-01,TMUS,0.0
2004-05-01,TSLA,0.0
2004-05-01,TXN,0.01
2004-05-01,UNH,0.01
2004-05-01,UNP,0.0
2004-05-01,UPS,0.28
2004-05-01,USB,0.8
2004-05-01,V,0.45
2004-05-01,VZ,0.0
2004-05-01,WFC,0.0
2004-05-01,WMT,0.0
2004-05-01,XOM,0.0
2004-06-01,AAPL,0.04
2004-06-01,ABBV,0.0
2004-06-01,ABT,0.43
2004-06-01,ACN,0.31
2004-06-01,ADBE,0.04
2004-06-01,AIG,0.11
2004-06-01,AMD,0.78
2004-06-01,AMGN,0.0
2004-06-01,AMT,0.24
2004-06-01,AMZN,0.0
2004-06-01,AVGO,0.0
2004-06-01,AXP,0.0
2004-06-01,BA,0.28
2004-06-01,BAC,0.68
2004-06-01,BK,0.06
2004-06-01,BKNG,0.0
2004-06-01,BLK,0.0
2004-06-01,BMY,0.0
2004-06-01,BRK-B,0.0
2004-06-01,C,0.86
2004-06-01,CAT,0.56
2004-06-01,CHTR,0.0
2004-06-01,CL,0.04
2004-06-01,CMCSA,0.0
2004-06-01,COF,0.0
2004-06-01,COP,0.04
2004-06-01,COST,0.5
2004-06-01,CRM,0.07
2004-06-01,CSCO,0.0
2004-06-01,CVS,0.13
2004-06-01,CVX,0.0
2004-06-01,DE,0.72
2004-06-01,DHR,0.0
2004-06-01,DIS,0.0
2004-06-01,DOW,0.05
2004-06-01,DUK,0.0
2004-06-01,EMR,0.0
2004-06-01,F,0.22
2004-06-01,FDX,0.0
2004-06-01,GD,0.02
2004-06-01,GE,0.1
2004-06-01,GILD,0.0
2004-06-01,GM,0.59
2004-06-01,GOOG,0.03
2004-06-01,GOOGL,0.02
2004-06-01,GS,0.31
2004-06-01,HD,0.03
2004-06-01,HON,0.0
2004-06-01,IBM,0.15
2004-06-01,INTC,0.0
2004-06-01,INTU,0.0
2004-06-01,JNJ,0.0
2004-06-01,JPM,0.0
2004-06-01,KHC,0.0
2004-06-01,KO,0.06
2004-06-01,LIN,0.07
2004-06-01,LLY,0.0
2004-06-01,LMT,0.0
2004-06-01,LOW,0.54
2004-06-01,MA,0.56
2004-06-01,MCD,0.01
2004-06-01,MDLZ,0.0
2004-06-01,MDT,0.01
2004-06-01,MET,0.37
2004-06-01,META,0.12
2004-06-01,MMM,0.02
2004-06-01,MO,0.29
2004-06-01,MRK,0.0
2004-06-01,MS,0.75
2004-06-01,MSFT,0.0
2004-06-01,NEE,0.01
2004-06-01,NFLX,0.0
2004-06-01,NKE,0.02
2004-06-01,NVDA,0.0
2004-06-01,ORCL,0.01
2004-06-01,PEP,0.5
2004-06-01,PFE,0.05
2004-06-01,PG,0.07
2004-06-01,PM,0.12
2004-06-01,PYPL,0.0
2004-06-01,QCOM,0.0
2004-06-01,RTX,0.02
2004-06-01,SBUX,0.0
2004-06-01,SCHW,0.0
2004-06-01,SO,0.27
2004-06-01,SPG,0.0
2004-06-01,T,0.67
2004-06-01,TGT,0.0
