Date,MPO,SPO,SP100
2023-03-01,1.5468823672835614,1.5667939512260312,1.813976109148027
2023-04-01,1.5338891260704397,1.5528871296610838,1.8346224692298467
2023-05-01,1.5885127863161799,1.5781603690681973,1.8573967575129995
2023-06-01,1.625295585491171,1.6939528510833122,1.9176004956399832
2023-07-01,1.6208057651976535,1.672730662807684,1.9501916904590224
2023-08-01,1.677594206841003,1.703484506089011,1.9369990250945301
2023-09-01,1.608107559463584,1.6410604339240504,1.8877473773382587
2023-10-01,1.5245738501336223,1.5616206396107866,1.8716208158127507
2023-11-01,1.5850846944241874,1.5832894282613164,1.961297727544637
2023-12-01,1.6504102901075073,1.6944102526342921,1.9991463021992844
2024-01-01,1.7078000940833888,1.7905235367189993,2.022525366888216
2024-02-01,1.735792912606367,1.7305521485163518,2.077059641065203
